company_name,wko_rows,wko_profile_url,http_status,employee_best_numeric_mention,employee_mention_kinds,employee_evidence_contexts,mentions_count,profile_text_len,error
AJAS - Immo GmbH,1,https://firmen.wko.at/ajas-immo-gmbh/vorarlberg/?firmaid=5ce60322-2f9d-4d9f-b56f-10b10b388afc&standortid=8&standortname=vorarlberg%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Albin Schwarz,1,https://firmen.wko.at/albin-schwarz/steiermark/?firmaid=cf97c4bc-44cb-4e49-84b2-afa3d734130e&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Alexander Georg Frieders,1,https://firmen.wko.at/alexander-georg-frieders/wien/?firmaid=5500e6a1-8796-426e-a608-d11efb113a4d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Alexander Michael Vollmann,1,https://firmen.wko.at/alexander-michael-vollmann/wien/?firmaid=49d87944-0362-41ad-8d00-c2c24c783da8&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Alfons Metzger Hausverwaltung Immobilien Management GmbH,1,https://firmen.wko.at/alfons-metzger-hausverwaltung-immobilien-management-gmbh/wien/?firmaid=26665eff-d512-444b-90cb-317fd16c7ef5&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Alfred Herbert Fritz,1,https://firmen.wko.at/alfred-herbert-fritz-alfred-h-fritz-immobilien/wien/?firmaid=e82af938-7cb4-42eb-a066-0643f8f6c039&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Alfred Matejka Immobilienverwaltung Gesellschaft m.b.H.,1,https://firmen.wko.at/alfred-matejka-immobilienverwaltung-gesellschaft-mbh/wien/?firmaid=204a2358-cfd9-497f-a006-d3a96701f072&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Alfred Xaver Kiesling,1,https://firmen.wko.at/alfred-xaver-kiesling-immobilien/wien/?firmaid=c05027eb-3987-4922-94bd-68153edf98c6&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
All-Suite Resorts - Österreich GmbH,1,https://firmen.wko.at/all-suite-resorts-%c3%96sterreich-gmbh/tirol/?firmaid=f3bcd5ba-b23a-4cbc-993a-9ea01057bed0&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Allgemeine Unfallversicherungs- Betriebsgesellschaft m.b.H.(AUVB),2,https://firmen.wko.at/allgemeine-unfallversicherungs-betriebsgesellschaft-mbhauvb/salzburg/?firmaid=d2a87d3b-73a0-4d69-a8ab-428e273a2db3&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
